*sample_name	sample_title	bioproject_accession	*organism	*collection_date	*env_biome	*env_feature	*env_material	*geo_loc_name	*host	*lat_lon	altitude	chem_administration	host_body_habitat	host_diet	host_last_meal	host_life_stage	host_sex	isolation_source	perturbation	samp_collect_device	samp_mat_process	samp_size	samp_store_temp	samp_vol_we_dna_ext	description	duplicates *once **twice	DNA_plate	DNA_well
Ja31/14286	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1A/14286	nan	nan	nan	nan	-80C	nan	nan	nan	P8	F12
Ja31/29962	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1A/29962	nan	nan	nan	nan	-80C	nan	nan	nan	P8	H5
Ja31/29707	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1A/29707	nan	nan	nan	nan	-80C	nan	nan	nan	P7	C12
Ja31/14322	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1A/14322	nan	nan	nan	nan	-80C	nan	nan	nan	P5	H5
Ja31/29913	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1A/29913	nan	nan	nan	nan	-80C	nan	nan	nan	P8	H10
Ja31/14187	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1A/14187	nan	nan	nan	nan	-80C	nan	nan	nan	P7	G1
Ja31/29912	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1B/29912	nan	nan	nan	nan	-80C	nan	nan	nan	P8	E3
Ja31/14160	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1B/14160*	nan	nan	nan	nan	-80C	nan	nan	*	P7	A11
Ja31/29665	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1B/29665	nan	nan	nan	nan	-80C	nan	nan	nan	P7	H9
Ja31/29939	nan	nan	Gut microflora metagenomics	2017-01-31 00:00:00	Host- gut	Faecal 	Faecal 	NSW, Australia	Porcine	34.1273° S, 150.7387° E	91.1	No treatment	Intestinal Tract	Commercial pellets	Commercial pellets	Weaner	Male	1B/29939	nan	nan	nan	nan	-80C	nan	nan	nan	P7	F9
