DNA_plate	DNA_well	sid	phylo_entropy	quadratic	unrooted_pd	rooted_pd	bwpd
P10	A10	S937	3.34533	0.899001	132.933	132.933	2.03411
P10	A11	S945	3.44466	1.16008	26.3884	26.3884	2.64779
P10	A12	S953	1.79583	0.773397	7.33187	7.3946	1.83557
P10	A1	S865	3.03666	0.842219	120.478	120.478	1.89868
P10	A2	S873	3.11539	0.845671	120.771	120.771	1.91653
P10	A3	S881	3.32727	0.892158	126.955	126.955	1.98862
P10	A4	S889	3.42451	0.943594	137.333	137.333	2.1365
P10	A5	S897	3.11354	0.886483	107.519	107.519	2.03636
P10	A6	S905	3.03692	0.828916	116.902	116.902	1.85431
P10	A7	S913	3.00666	0.884087	102.673	102.673	2.04702
P10	A8	S921	3.3534	1.02927	109.475	109.475	2.48634
P10	A9	S929	3.14338	0.925287	130.702	130.702	2.19655
P10	B10	S938	3.12082	0.90918	135.297	135.297	2.27461
P10	B11	S946	2.28131	0.92524	10.7651	10.7651	2.20453
P10	B12	S954	2.24244	0.89262	12.0077	12.0077	2.1165
P10	B1	S866	3.18116	0.907723	114.17	114.17	2.09313
P10	B2	S874	3.43789	0.91464	134.877	134.877	2.06476
P10	B3	S882	3.26918	0.927893	118.089	118.089	2.1367
P10	B4	S890	3.36829	0.93128	120.358	120.358	2.10432
P10	B5	S898	3.19764	0.92463	122.017	122.017	2.2354
P10	B6	S906	3.28391	0.881426	117.563	117.563	1.98699
P10	B7	S914	3.0321	0.826115	109.591	109.591	1.85609
P10	B8	S922	2.9074	0.783346	117.48	117.48	1.79232
P10	B9	S930	3.19145	0.882398	107.456	107.456	1.98931
P10	C10	S939	3.31953	0.877935	145.263	145.263	2.01114
P10	C11	S947	2.90945	1.03926	18.639	18.639	2.40259
P10	C12	S955	1.57148	0.742309	5.92018	5.98291	1.89754
P10	C1	S867	3.19986	0.871879	116.056	116.056	1.96369
P10	C2	S875	3.0506	0.865785	115.393	115.393	1.98774
P10	C3	S883	3.25279	0.922392	120.197	120.197	2.0556
P10	C4	S891	2.96555	0.884336	102.209	102.209	2.05381
P10	C5	S899	2.98137	0.803083	117.016	117.016	1.80396
P10	C6	S907	3.27118	0.897349	119.148	119.148	2.05303
P10	C7	S915	2.92533	0.817502	118.842	118.842	1.88101
P10	C8	S923	3.1335	0.887088	120.423	120.423	2.0542
P10	C9	S931	3.19688	0.829639	137.302	137.302	1.86596
P10	D10	S940	3.36622	0.920305	124.467	124.467	2.06885
P10	D11	S948	2.36843	0.873634	14.8803	14.8803	2.01514
P10	D12	S956	2.25428	0.982181	8.94591	9.00864	2.35195
P10	D1	S868	3.0559	0.834783	117.158	117.158	1.88447
P10	D2	S876	2.99399	0.88281	122.768	122.768	2.26403
P10	D3	S884	3.34982	0.891204	131.025	131.025	2.00726
P10	D4	S892	3.23247	0.92211	129.975	129.975	2.14029
P10	D5	S900	2.99475	0.846223	106.858	106.858	1.94319
P10	D6	S908	3.22622	0.912864	115.02	115.02	2.09253
P10	D7	S916	3.2182	0.92891	124.3	124.3	2.24568
P10	D8	S924	3.03702	0.913087	93.4482	93.4482	2.1129
P10	D9	S932	3.3278	0.98833	114.86	114.86	2.29668
P10	E10	S941	3.33924	0.921512	130.883	130.883	2.11162
P10	E11	S949	1.83148	0.732471	8.93751	8.93751	1.72421
P10	E12	S957	2.90859	1.01798	19.3682	19.3682	2.3094
P10	E1	S869	3.166	0.890572	107.699	107.699	2.0412
P10	E2	S877	3.16956	0.959998	101.285	101.285	2.2417
P10	E3	S885	3.34822	0.950557	132.377	132.377	2.1823
P10	E4	S893	3.38608	0.944415	100.024	100.024	2.11243
P10	E5	S901	3.4382	0.937909	138.495	138.495	2.12184
P10	E6	S909	3.42961	0.974355	116.264	116.264	2.20033
P10	E7	S917	3.07404	0.893351	113.296	113.296	2.09223
